中国移动营销行来发展报告alink	王大姐，打字细心一点
我们应该把男单转完，还是该进CBA呢？	网球都看央视呢，北京的解说没法看
周末在NapaBBQ，看起来很美味。	欢迎回来steve，关注互联网创业的同学们看过来！
新赛季CBA夺冠赔率，各位元芳，你们怎么看？	江苏今年三外援估计也跌不出后三啊
成为月薪两万白领必须精通的10款软件	已经会一两个了，我要涨工资
★画的人和被画的人都不容易。	何必呢？艺术吗？噱头哎！
我在江西移动网管中心：值班呀值班。alink	握爪。我也在值班呀值班
【著名公司logo演化史】看起来，极致简约是主流。.	公司logo也要与时俱进！哪怕是神一样的APPLE公司logo！
女作家把＂偶的爹＂照片po出了，真爱无敌，哪管其他。	据说已经离婚了。一为炒作自己。二为。你懂的。
这样滴地铁入口够震惊？好喜欢。	不在中国，中国人就有心也没这胆！受不了大众舆论。
#时光机#在哪里会不会有一扇门，推开就能看到那时的你。	真的好感动，看到这个系列。
“你又胖了！”正在狂吃的吃货，听到这句话后往往是这个表情！	我已经很尽力减肥了。
#热火vs马刺总决赛对决#9：07，热火20比27，第二节还没有得分！	詹姆斯别犹豫啊越犹豫也不中
以青城近日的温度，怕是要穿秋裤了吧。元芳，你怎么看？	大人以您的身形少穿几件也无妨
好锋利的刀！就是这么霸气	将路灯一劈为二，霸气十足！
心存善念，便会途遇天使。	心念慈念，便会途遇『天使』
政治僵尸申.纪兰早年照片。	是哪部电影的海报？吃惊]
如果生活如照片般美好	热爱生活，每天都要快乐哦。
今天上午休息！好久没有睡得那么香了！	听你这么说好高兴，希望小叶子每天都能睡好
我客观地说，上海的麦当劳比北京的好吃。	虹桥的85℃味道也倍儿棒。
在世如莲，净心素雅，不污不垢，淡看浮华。	在世如莲，净心素雅，不污不垢，淡看浮华。
居然是用书雕成的。	想证明书中自有黄金屋么，怎么不雕个美人出来呢。
还是那句话，千万不要让老爸带孩子。	哈哈哈哈我决定不再抱怨我老公
【那些年，他曾流过的泪。】	服装4分，演技8分，表情7分，感情负分。综合打分：-10分。滚粗
清八大山人《柳条八哥图》	乡野之间，自得其乐，清高傲世。
关于同性恋，有一本德国的儿童书里是这样教的。.（转）	好棒的教科书，从小了解认识才能在长大的将来正确对待。😊
屌丝，过来我给你看个好玩的！	小马：老马来看，我摇出个美女。老马：呵呵
人类失去信仰，世界将会怎样？	人类信仰是什么呢哥哥
哈哈、主人我给你捡回来了！主人我给你捡回来了！>转<	燃放烟花注意行人安全。注意有狗。
世界在变大，还是只是我变小了？	世界在变大，还是只是我变小了？很有创意
#晚安#老天在送你一个大礼物时，都会用重重困难做包装。	嗯。所以始终相信。三年。该我来疯狂了。
曾经有过这样班主任的童鞋们请高调转发。	我们老师都是直接进来坐着听的！
发现一颗精子翱翔在蓝天上。	上帝在找玛利亚，赖宝快上。
甘肃省政协委员彭丹下乡体察民情。	做什么秀。把人都丢尽了，
海怪。属于古生物，万年前	记得09年在石家庄出差的时候见到过，一直不知道怎么吃。
又到了满街黑丝的季节了……不过看看这些，穿出去绝对成焦点！	性工作者的工作牌。
不知道自己穿行在哪里，只知道自己的心，留在了北京。	穿行在重庆，可心真的留在北京了…
整理出一堆文革史料，再公布几份，请欣赏！	说你家是何许人也？
大概25岁以上的人都有一本这个。	小诗哥，夏目是你什么人？
今天追高的，都将成为炮灰。根基不牢，墙要倒。	你要当反指怎么说？
这还能再苦逼点么！尼玛你招的这是超人吧！	现在很多小城市、小公司都还是这就价呢
开福寺，八吉祥。长沙，女性频道，活色生香，拍摄ing。	大师阿弥陀佛-----祝录影顺利
这个乘法口诀牛X大了。留着教孩子吧！	给跪了………………
中国的每个省都是个美女。「作者不详、快乐麻花」	能不能画出福建的呀
你剪掉了我的翅膀，却怪我不会飞翔。	你给了我飞翔的翅膀，却怪我飞的太远，不回家乡
每回用空调我都会担心它会不会突然爆炸微波炉同理	不会我觉得微波炉才会
这预览图也太丧心病狂了……	剥夺猜测犯人的乐趣，实在是种高级趣味。
往机场的路上随手拍的，有没有人觉得它像。	这个照片的日子刚好是我生日那天哎
分享图片等不打球了就改行干这个	哈哈哈哈。这么快考虑转型啦？
调查一下，大家是什么时候知道风油精可以喝的？	调查一下，有多少人不知道风油精是可以喝的？
为什么我的微博首页只能看到这个？	一会儿好，一会儿就变这样。
今天下午，锤子科技的窗外。	老罗，不会写代码的帅哥要不？
微博，会把每一个官员都慢慢地带上良民的轨道。	首先得把一部分官员带到大牢，而后才是良民的轨道！
长谷川润已怀孕五个月，祝福！	好美！五个月还是这么美
有时候，一个人就是你的全世界。——图与文无关	日敢不敢不要丑搞！
这结婚照拍的，羡慕嫉妒恨啊啊啊啊。	我也想拍。谁来陪我拍.
请相信：无论快乐，抑或忧伤，都不会持续得太久。	骆老师，人生的意义是不是就在于这反反复复的快乐和悲伤中？
今天地铁上碰到个没素质的，发现怎么应付这不讲理的还要磨练	通情达理伤身体，画个圈圈诅咒他。
抵达扬州！祈福雅安！明天开跑！	明天的比赛你不解说嘛
【元宵晚会现场图片3】廖昌永、蔡明演唱《因为爱情》。	好歌被他俩给糟蹋了！
关于吃完奥利奥拉黑色大便……暴强回复！看到第六条，我喷了。	ohno，讨论那么恶心的问题
等咱有了钱就买一座岛，再盖个大别墅。	niceshoot！在哪里照的呢？
会化妆的男生你伤不起……	我的天啊，的确伤不起！
【10佳iPad底座】图中有你喜欢的吗？	喜欢最后那个。！环保！
【厦门BRT爆炸起火案嫌疑人陈水总的自白】是谁培养了恐怖分子？	：当官一张嘴，草民跑断腿，他算跑得少的了，这个邪恶的党。
不乱于心，不困于情。不畏将来，不念过往。如此，安好。	一个人活在世上又怎么做到这些看似简单的几个词呢
真的问问大家，你们想看到什么样的体育新闻？	NBA啊现在nba才是王道
这就是我想要的生活	这就是我想要的生活
我爱你因为我喜欢我执迷不悔的样子。	执迷不悔的境界也不是谁都能有的，有过这种样子挺好，挺迷人。
被这个妹纸的表白方式秒杀了。	谁有这妹子牛逼，哈哈
哈哈，在虎扑上看到了，拉莫斯的那个笑死我了。	拉莫斯最后那个笑喷了。
再严重的水灾也不能影响生意。	应该是再严重的水灾也不能不要发型
成功无捷径，惟有不放弃。	成功无捷径，惟有不放弃。
悟空、你的筋斗云呢？！	悟空改交通工具了！
你坐飞机有几次是按机票上的时间正点起飞的？	从来木有，国航尤甚！
【治愈系图片】又到了毕业季——这么有爱的毕业照你们见过吗？	第一排左边第一个是谁，就他不认识
这张图才是绝对的治愈系！	所谓庸人自扰，真正看透，这叫看透。这是层次。
男士泳衣，这是要火的节奏啊！（转）	这个东西也只有硬了以后才能穿上吧？
介个真的只是盆景吗？美得有点过分了。	真的好美，好有爱的说。
这哥们几乎没有不会的项目，他就是我的男神——普京。	就算做不了普京，也要吃的了蒲挞
好可怜的狗狗，没把主银咬死，就是真爱。「转」	没咬死你说明他爱你。
曾几何时，我们已经习惯了不该习惯的习惯。	曾几何时，我们已经习惯了不该习惯的习惯。
两岁宝宝的性感热舞，这也太有才了……。alink	突然好想让我女儿也学学。
终于有空可以陪妈妈一起吃饭了，真开心。	名星真的那么忙啊！算了，以后我也不出名吧！
今天有人过生日，餐厅准备的蛋糕看上去有点面熟。	今天有哪些江湖侠客来贺寿了？
痛批社科院：“房价全面失控”论，纯属胡扯！	危言耸听，找台阶呢。
#漫画欣赏#困惑的主人困惑的驴。	有时候需要""justdoit""的精神.
有惊喜在理面只有一位幸运儿alink	好可爱啊。艺人很辛苦啊。
天天第一次来我家这么安静，我跟她说，画完一本儿才能吃饭。	你就是不给娃吃饭是不
一个人在家宅久了，就神经病了这只猫抽风了！	爱马，这小风抽的，可爱属了。
两情若在久长时，咱会上见。	天朝两会最佳摄影奖
记住，这个季节对你不离不弃的只有蚊子。	最讨厌蚊子拉😱😱
你有多少年，没见过自己打伞的天朝领导人了？	多做运动身体更健康！
2012年想求财的朋友马上转！金龙降喜，金龙保佑！	金龙降喜，金龙保佑！
动物三件事情，吃饭交配睡觉。人类比较麻烦，多了一项胡闹。	人类貌似吃饭和睡觉也是为了交配，胡闹，胡闹
刘翔:我还会回来的！栏还在那里我还要跨过去alink	放弃有时候需要更大勇气
那就是。。。青。藏。高。嗷。嗷。嗷。原。。。	死，，了都要，，爱，，爱。爱。
当你要开口说话时，你所说的话必须比你的沉默更有价值才行。	有时候沉默比发言更有力量！
这是让全场两百多人一起跳舞的花旦，也是今年的获选机构	看啊每人诚心的微笑不知道世界上有什么比这更重要
max完全改变风格，留起胡子，走硬汉路线	留胡子不是艺术家风格么
朋友们早上好，今天的空气质量。	推开窗子目测+鼻测了一下，美国人今天不准；仔细一看，22日的！
这样的LED灯，见过么（动图）	帅气，求教程做一个
喂喂，尊重亡者也要尊重这只好么，记者配图有点操守。	…………………………三叔……
看小米盒子，也是一种享受。	上班也是一种享受，
小时候的你是否也很喜欢和妈妈一起睡，祝天下的母亲身体健康。	非常喜欢，长大了也喜欢
上一次看到满天星辰是什么时候？✨	已经不记得了，或许是童年，或许是梦中。
马刺94-82客场击败勇士，4-2晋级西部决赛。	灰熊止于马刺，马刺加油！
调控10年房价为何涨10倍？alink	谁叫你相信政府的！
门口的酒吧还真是真理啊。	再加一句“Don'tdrink”然后就没人进去了
据说，人的一生只能吃9吨食物，谁先吃完谁先走。	9吨的话我早死了「吃货」
约翰·列侬和小野洋子，摄于1968年。（组照）	平静对待生活的两个人，才有可能将每一步都走得完整。
因为……真的很可爱嘛！	我就是这样的，难道因为是巨蟹座的关系？
妹子，放弃吧，打枪是男人的专利。	这句话，额，带有歧意
现在的我……上不去的是工资……下不去的是体重。（转）	现在的我。上不去的是成绩。下不来的是体重。
最疼我的男人我真的很爱你。	从小就唱世上只有爸爸好！😘😘😘
one-hitwonder只唱红过一首歌的歌手。你想到谁？	还能有谁。我用尽一生一世来将你供养
祝大家蛇年快乐乐乐乐……天冷别忘穿秋裤哦！	一定不会忘的！穿着秋裤看湖北卫视。
各位早中晚好，应该有人已经要在车里开暖风了吧	没有，我来的车是敞篷绿电电动车！
还有六天给大家温习，8月6日来小巨蛋要和我一起大合唱喔！	看看人家台湾的票价VIP才4800台币
临睡前问一句，你说老卡临走是不是特后悔放弃了核武器？	所以说，独裁者是整个地球的灾难。
杨钰莹的声音我只能坚持五分钟，你们呢？	楼下你们都在说什么呢？
你不可错过的「彭博商业周刊」中文版创刊号。	我昨天买了，支持donglu老师！
今日冬至，阴极之至，阳气始生，天干物燥，谨防上火。	滋阴补阳。要买点梨吃。
很晚了，睡了，每天早晨叫醒我的绝不是闹钟而是梦想！	叫醒我的，有老妈，有闹钟，更有梦想，还有习惯。
抄作业不怀疑对方做得对错是抄作业的基本道德。「转」	多拿几份一起抄比较保险也不易被老师发现
夏普首款Android手机5英寸SH-10B	我更喜欢下面那个索爱(喂==)
火罐拔完之后，女儿的杰作！（转）	好家伙，这种笔弄身上可不好洗了，孩儿他妈一会有的干了。
深度分析李雷和韩梅梅为何没能在一起！「转」	Kangkang、Michael、Jane、Maria才是我们那时代的
今天是黄家驹生日！请用一句歌词来证明Beyond是你的最爱。	beyond！家驹生日快乐
#GIF#你们先走，等我再飞会儿。	有木有想开网店的？
#早安微话题#你希望以什么样的方式离世？	为自己心爱的人死去。
进击的皮卡丘！表情好评！	看我配词！“死蚊子！叫你丫的咬我！看你往哪跑！”
冷吧冷吧，把那些没有脂肪的瘦子都冻死吧！	好吧，事实证明我周围的瘦子都很抗冷，只有我这个胖子在打哆嗦
#团团分享#周杰伦是三年二班，菇凉，你曾经是几班的呢？	不出意外滴糊话我明年的班级。
生命是一场遇见，人来人往，最稀罕的就是遇见另一个自己。	最稀罕，但总会有人遗憾。
有时候，我们不要想太多，顺着自己的心意就好了。	总是这样想但做时总不是这样做
非洲龙血树，看起来像极了一个个胎盘和脐带	上面是基蜕膜跟丛密绒毛丛，下面是脐带
【治愈系图片】关于结婚照，不能太做作，一切要很自然。	不管是什么照片都喜欢这样的感觉，谢谢！
#生活大爆炸#穿越了，原来这些天才真的存在。	。历史上有PENNY这个人嘛。丰富了天才们的课外生活
海底捞外送服务！享受过的童鞋请举手！	真的啊？这么好，这个不错！
胜利属于张靓颖！属于超女！属于国际范儿！	嘉宾还就张靓颖震住了
来说说你最爱的三样东北美食，不许贪心，只能说三样哦。	最爱吃酸菜猪肉炖粉条子，然后麻辣拌，然后一锅出。
收拾了一上午，终于差不多了。以后再买书，一定只要电子版	这是干嘛，为什么打包？搬家？
突然觉得真是这样……（转TX）	这个暂时还木有.咱班全是女生啊.我那个悲催。
这半年以来你看过的最差劲的电影是___________。	太多了因为太差劲都不记得名字
今天伦敦-4度来自香港的冷到想哭！	人民战士。几时再打比赛啊？
你的童年，有没有这么个东西？怀念吗？	虽然很油！但还是觉得很好吃1.5一个！
早！今天话题：什么东西别人有，而你没有。	过分啊，好身材别人有，我没有啊。
#健康小常识#绝对绝对绝对不要在临睡前看《将太的寿司》	小图超级恶心的好么
母亲还在说。江河在流淌！	就是社科院的于研究员？好人啊
2013年维也纳爱乐乐团新年音乐会图片第2波，分享自维也纳爱乐乐团	他还是那么精神-w-！
昨天晚上做梦我回西安翻译学院了，还住进了南一。	校友校友…啊…我居然有这么牛的校友…
小姚2013上半年段子合集来啦，太好笑啦！	造窑那个太好玩啦，哈哈哈
澳洲四大最美薰衣草农场——震撼的紫色美！	好美哦，想做成画挂起来，像素够不够
小时代中各种类型的男人里，你最稀饭哪一款的？（转）	我宫先生······真是帅嗷嗷嗷啊奥
奢侈品与公款消费联系如此紧密？	都成兵马俑了，还能发声？
害怕困难时，试试这个。太励志了！「转」	年轻放弃一次又如何
会化妆的男生你伤不起……	这是门技术啊！得加强学习！明儿哥也倒饬成一正太。
在我孔二狗这个名字前面加个scc，能多点粉丝吗？	可硬件不行啊，用永久自行车车震嘛
据说是阿哈尔捷金马，也就是汉朝的汗血宝马，身材真好。	这身材太棒了，毛色光润，体型健硕，真漂亮！
米国海军学院我在#USNAVALACADEMY#alink	啊？啊？使徒子难道不是纯爷们？
据说这张图，很多处男都看哭了（图：网络）	这个有卖吗，我要送给前男友。
给人以宁静，予己以清幽；给人以宽松，予己以从容。	宁静、清幽、宽松、从容
我们不照搬西方模式，只看标题就知道了。	浮躁这个词具有主观色彩国情这个词从来就是一把伞
给我好吃的嘛！不给我，不给我我就卖萌啦啦啦啦。	耍赖也不给你吃，哈哈
这就叫：本是同根生，相煎何太急！	喝奶茶的是曹丕的后代
一无所知的世界，走下去，才有惊喜。🌻早安	是真的吗会不会走下去更加迷茫
很多成功的民营企业，都有一个暗恋着董事长的女副总。	董事长是女的怎么办
婚车不一定要多豪华，但一定要有特色。（转）	遮挡车牌12分没有了。
【棋术牌技】象棋残局求解：红棋先走，怎么走？	炮二退一，对方炮4退六，然后车二平七。
司机是怎么从车上下来的呢？	他在里面生活根本不用下车
腾讯(Tencent)2013校园招聘正式启动，查看并立即申请：alink	人家网站做的真漂亮呀。
今天看到最励志的一句话：离过年只有99天了…	三个月.唉.我还没平帐呢.
孩纸，你给人类丢脸了。	我小的时候也像这样被追赶过
eicodesign新的洗手间标识，大家能猜到是什么意思么？	一朵鲜花插在牛粪上。
中国最受欢迎的人叫全票，他总是能当选。	反对票在选举之前已经肃清了。这叫保证革命队伍的纯洁性！
绽放到最后一刻色彩还是如此高贵。所谓国色天香是也。	陈SIR，你系影帝啊！影得好好睇。
楞装纯情小少女啊哈哈哈	磨皮磨过头了！要不要这样a🙈🙈😱
当憨豆和NBA球员结合。最后邓肯无缝对接。「转」	……石佛，名不虚传！
说好的ipad代替一切呢。	说好的ipad代替一切，笑死我了
谁能搞到chinajoy的票呀？我要去和showgirl们谈谈心	我也想要。给我再搞张呗呵呵
将此图献给星期五晚上还要留下来加班的童鞋！	到底多深，真想知道
2013年东京布道——远志明牧师讲道之一alink	视频被删除了，哪里还有？
这PS也太强悍了，你都看到哪些明星了？求正确答案。	太有意韵了，我想说我还看到了""华仔""的影子！
每一个超越昨天的人都是人生的赢家。（BY佚名）早安，各位。	🍵🍵早安，朋友们
熊市啊，中午来碗菜泡饭算了。	还别说，这一口很对味，我也经常如此打发。
哈哈哈哈哈右边都是历史帝！	这么熟悉历史电视剧啊！。
看图识字讲故事。区区一个政协委员四年洗钱十二亿欧元。	这人是私人企业集团老总，政协委员不是政府官员
唐朝贞观年间的古银杏树与九零后的大佛。佛大山灵。	老师你照片照的真不错。！有时间来青岛玩玩吧。
北京美味小吃合集！没吃过的果断收藏吧！	果断收藏，我要搜罗全国各地的美食
怀念糖人的味道，怀念这种情景，带着一丝不舍，我们都长大了。	想念古老的北京城，想家。
#Tango无厘头一日一画#一直想为洗手间抽纸箱做一个贴画。	唉，为何我也如此恶俗
乒乓球第一天比赛，尽管世界前16强没有亮相，但观众仍然爆满。	乒球是个好玩的项目！这决定了全民界都有人喜欢！
小时候玩过这个的请默默转走。	小时候赢了好多啦！
罗母尼（Romney)家人把他的名字拼成了这个	“阿，钱！”这样太赤裸裸了…
都说属虎的人今年流年不利犯太岁，肿么办呢。	大难不死，必有艳福，看来今年桃花必泛滥呀
你们说说，一个人出于什么样的心态才会这么干？	想在眼前装个卷帘门，哈哈哈
我在前往新知东城区图书城的途中看到了海鸥。	您确定……不是河鸥？
大概是候机楼人满为患了？都让乘客在飞机上等？	怕您带头去拦机场跑道……
猛一看以为是男，豆豆长的真像他爸。	嘁·就跟你是林帅老友，见过他似的！
开始暖场了，尖叫声，哨子声一片一片！	有没哪个网站直播的呀
如果上天再给我一次和你相逢的机会，我一定扭头就走！	如果会有再来一次0。
我总觉得这题不该这么简单，于是……	98.126.8.2/index.php？ads=329501
装一扇这样的门，让彩色阳光撒进屋来吧。	每天都是七彩的阳光
今天做别人不愿做的事，明天才能做别人做不到的事！	为他人所不为，方能成他人所不能之就！
神马？你居然敢放屁！	小家伙太坏鸟，故意的
阿拉伯数字的来历，学了这么多年数学，今天才知道。	自然界的东西有时候是太神奇了
美翻了的欧洲皇室珠宝！喜欢吗？（图转）	珐琅、祖母绿、绿松石，奢华之极。
你相信中国现在闹钱荒吗	钱荒到底是谁荒呀？银行还是政府还是广大群众？
如果有一天早上，你突然发现变了性别。你的第一反应是？	先爽爽试试做女生是啥感觉
【澳门再向永久居民每年发8千元】真是万恶的资本主义	不要有意气我们好不好？我们已经够苦的了。
【分享】为什么很多互联网公司在开曼群岛注册？	开曼已经被美国认定为洗钱国家，
请各位转发这条黑丝带，为在7.21北京暴雨中遇难的人们致哀！	走好吧！哀悼，致敬
【趣漫画】从头到脚图片来自imgur	肚子比胸高……一定是个胖子。
几个星期的努力，同事们都幸苦了，尤其是大蔡！	是北京么。几号线。
TGIF！一定要请一位好朋友喝星冰乐，他会是谁？	已经试过摩卡曲奇星冰乐，系几好饮噶。！
手机，贴膜还是不贴膜？alink（Zealer中国）	有木有想开网店的。
股票又大跌了耶！我要不要进场一下下呢？	你是传说中的红婆？到美国，美国人民免费送你回来那种的。
小米网新年第一单，就在今天中午12点！期待开门红……	有财神爷保佑，肯定开门红。
<草原上的小鲸鱼>无比美妙的童话故事「BY大象ROV」	看到最后才知道这是个笑话！
在水中呼吸是件很美妙的事	亲爱的妩媚，晚安！
浏阳姑娘刘丹被计生站强制引产，七窍流血殒命alink	这个应判故意杀人罪
下班分享：你最喜欢下面哪段话？	我觉得世界上最远的距离是每天都是星期一
芙蓉姐姐:2013年农民网络春晚，我的新造型喜庆吗。	不错，加油，看好你噢，立志姐
终于。北大也有公开课了。！alink	拿得出手的也就这几门课
据说，他们走在一起，三人都觉得自己是电灯泡。	彼此都觉得第三人是电灯泡那个点赞啊。
这东西虽然叫“开始”，但似乎每次点它都是为了结束。（转）	所有的开始，都有一段结束。而每一段结束，也意味着新的开始。
致青春低调的内部庆功会。	祝贺！真心喜欢＜致青春＞
#NBA酷图#一个时代的开启？	也是一个王朝的开始。
以雪地为图纸。而画笔是，这哥们的鞋子！「转」	这么大个形体，怎么把握得这么准？GPS吗？
席慕容写给12星座的诗，你是哪一首？	佩服他对我的深刻剖析……宿命？没得救？
意大利五渔村。向往的地	好漂亮啊，像油画一样。
北京，此刻。赶紧收衣服啊。	中午十二点的北京，半夜提前到来！
高铁＂骑＂上了居民楼，先建后拆房只是为了赶工期。	这欺负老百姓已经不是坑爹，，，，是坑爷
等什么时候iOS6能越狱再来搞goagent教程吧。	Android版的最近用不了，不知道是不是只有我一个
今天还上班的公司，都是做大买卖的吧？	次奥！保险公司全年不休息
湖南城管打死瓜农，官方称要顾全大局！	放他妈的屁！把他家人打死了，他还会这么说吗？奶奶的！
越有本事的男人越没脾气。	发脾气是本能，压脾气是本事！
【Facebook编年史】——关于#Facebook上市#，你只需要这一张图！	据说快10亿用户了。
喝酒喝到打嗝，这是什么RP？	贺老师有没有梁山好汉的感觉啊…
早上好！你们都起来没有啊？	蜀黍。菊花露粗来了。
双皮奶图解！自己在家做双皮奶咯。（图片来源于网络）	我超级喜欢吃这个的！好吃啊。
前方激战正酣，后面这位哥们在读条发大招么。	哥在憋气！巴神附体
爱传万家，精忠岳飞，今晚七点半，看我安徽！	收视长虹，每晚锁定安徽卫视观看史诗大巨作#精忠岳飞#
狗哥发了下午要去重庆的微博15分钟之后，周克华闻讯自杀。	爆头哥是迫于狗哥的气场才自杀的么
上电视了，好兴奋！孩子，为什么放弃治疗。	林子大了什么小伙伴都有
还记得当年你高考前的第一个晚上在干嘛吗？（转）	追港剧，11点后才睡的
这新闻地图炮开的真作死	哈哈，唉，可怜的胡爷爷，下了台就这么挨欺负。
献给单身好女孩，希望你们快乐一些alink	不经意看到这些文字很喜欢谢谢alink
于先生乘鹤仙游，天上茶馆开张。	#于是之去世#转发微博话题详情:alink
慢一点恋爱，别急着洞房。	别急，慢慢来，载耶耶。
干吃芥末粉的后果…看一次笑一次！	芥末粉？是辣椒粉吗？两者对比，哪个更厉害？
【图片报告】中国奢侈品消费不再只认名牌alink	理性消费之后：中国人的钱不在有那么的好赚。
【地铁午萌】我们在比卖萌，看看谁更萌呢？	导盲犬为什么不能进地铁
朋友们早上好，今天的空气质量。	你是气象播报员呀。
主讲嘉宾到场。准备开讲了。	俞敏洪先生，上大学的时候看过两次他的演讲
如果你知道这个游戏的话真是恭喜你了，正式加入老龄组。「转」	啊老师让做表格的时候我就在干这个
要记住每一个对你好的人，因为他们本可以不这么做的。	对对、真心感谢。🌻🌻🙏🙏
云南抗旱行可爱的苗族孩子	成龙你是我们的榜样孩子们会感激你的
❤余晖下的埃菲尔铁塔，拍得好美。	巴黎铁塔！你永远都是我向往的地方！
第二本试刊比第一本好多了，但还要再试下去。30日会上市。	第一期哪里可以买到？可否邮寄？
看网络色情长大的一代，还有什么可以刺激到他们。	网络不把关，多少人在里面放纵迷失。
你们谁吃过这个东西？我们叫cipaoer不知道你们叫什么名字？	我吃过，我叫他格森
为大家省点名额吧。（很好奇boss团是不是样样“精通”的）#BAC+5#	张绍刚！枉你还是中央台出来的！
要是巴蒂斯塔身边这几位换上申花球衣。	赶快把股权搞定，我们要看梅西穿申花队服！
【视频】【DMS】你眼中的数学系·第一弹alink	李狗蛋····把我心中的数学神人形象尽毁··
最受不了小奶猫了，萌爆了，全拐走拐走！	萌爆了的小奶喵，小薇，全抱走！
发现一个聊天的地方，还没睡的童鞋，来聊聊吧alink	怎么怎么，我现在变得这么晚
生活就算累了点，但还是很美好。	生活就算累了点，但还是很美好。
如果只能吃一片你吃哪个？（转）	后悔药，挑完后不后悔就留着，后悔了就吃掉，哈哈
【欧冠半决赛抽签】多特蒙德VS皇家马德里拜仁慕尼黑VS巴塞罗那	西德大战！决赛是皇马踢拜仁？
马来西亚插画师HengSweeLim的新作《嬉皮和朋克》	Malaysiaboleh！
15年来最获好评的150部电影！果断收藏起来慢慢看！（转）	答应自己，强大起来，那样就没有什么事能扰乱你平静的心灵。
11度都游了！18度那还客气！真是如庾得水！	原来哈林哥这么可爱··
加盟红魔后，果然很红！	哇`正点啊。加油`YEAH！
文明POGO、礼貌搭讪、、还有夕阳中排队上厕所的青年们、、、	庄刘海我怎么没有看到你啊！
在这个拼爹的时代，你们有木有听说过，哪个干爹喜欢飞机场？	咸鱼青菜各有所好吧。哈哈。
心情不好的时候，我就会看两只猪的对话alink	曾几何时，心晴朗。
每天早上一出卧室看到的就是这个……顿感人生啊……	人生真是太辛苦了T_T
有时候，不是不够努力，而是不够坚定。	有时候，不是不够努力，而是不够坚定
麻将，HelloKitty牌儿的，想要的童鞋请默默转发。	也太可爱了嘛，女人麻将
请坚持住！您的亲人在等着您！请坚持住！加油！	雅安！挺住！兄弟们，挺住！就快天亮了……
内脏牵涉痛体表分布区域	看看心痛的感觉在哪儿体现呢？
即日打拐狂飚再起，席卷全国。	应该惩罚买孩子的家庭。不能光打卖孩子的。
#那些年我们一起追的女孩#马上就要来了！	S.H.E酱！快来快来！
Chanel手指歌舞剧。指甲油广告，不一样的创意！alink	指甲油。我心中永远的痛啊
准备送个手机给你们，等我想想送什么好！	只要送我，无所谓什么牌子。
拿到年终奖了，我开始厌世了。	想开点人生最悲惨的事莫过于人死了钱没花了
咬走奥巴马，四个“勇士”得意洋洋，班师回巢。	咱奥巴马咬不过他们？这哪成你得接着锻炼他
2012电商论剑记，亮点永远在最后！	我五毛，你五毛，咱们刚好是一块。
【互动一下】一句话证明你用过讯飞语音输入法。	希望加入陕西方言，只有四川、湖南、广东话。
❤纸质仿陶瓷水杯，这个用完你舍得扔么。	浪费啊，能不用纸杯就不用的
【行走·趣闻】推特上问，如果女生像下图那样，会痛吗？	当然和男生的蛋疼相比不是一个等级的疼痛
谢谢大家关注。我就不一一回复了	谦儿哥，你这狗不错啊
这张图才是绝对的治愈系！	有道理有道理有道理被治愈了
两天的工作结束，小饮一杯，等着晚餐。	黄老师好久没写字了。
我发布了活动“百年教材之民国课本”alink	人这少。不会取消吧。
这叫围观吗？这简直就是轮奸！——Angel妹一周岁生日Party小记	哇好乖阿它是任人玩的吗？
哎呀，这到底是iPhone？还是iPodtouch？	界面touch外壳iphoneps合成…
公共场合和在家……你中枪了吗？	呵呵，好夸张应该还好吧
怎么＂红嘴唇＂化得有点歪。技术不行呀好了。见再上海！	瘦身，换发型。完美！
【欧美13部恐怖佳片推荐】敢不敢挑战下？「转」	竟然50%都没有看到。我X。
京东：＂打苏宁司令部＂。国美：＂。杀京东""。	黄就算在里面也霸气依旧啊。惹怒大佬不是开玩笑的
说谎者即使讲真话也没人相信。（BY佚名）早安，各位。	讲真话者即使说谎也没人怀疑。
那些年，官员生活还能自理……转。	创造了多少就业岗位
妮子，姐懂你了，爱你。	我也是突然间懂了突然那么喜欢她哈
什么房价上涨，都是骗局。其实就是货币贬值。	真是的！老百姓当然只会考虑名义货币上涨或下跌！
为了解决抄作业的不好习惯，高数老师这回要逆天了！	==这个老师要干嘛？！精力过旺了？！
佩服小兵张嘎，居然敢在鬼子面前卖瓜。而且活着回来了。	那是因为当时没有遇到城管的原因吧。不然，回的来吗
偶尔发发牢骚是可爱的如果总发牢骚就只能可怜没人爱了	我发觉我是后者！
贪安稳就没有自由，要自由就要历些危险。只有这两条路。鲁迅	好吧，我不要自由了
冰箱都要放不下了呢	狗狗旁边的手是亮点啊
聚精会神写微博，一心一意为博友。	向你学习。世上最怕认真二字。
不要只从一个角度看人看事。「转」	是呢人家都以为我是坐着拿花的大叔实际上我是站着提斧的萝莉
谁让新娘等到睡着了呢？	是主持人！因为主持人很能白话！
刚刚送了我一本。仇恨没有未来，战与和都无法消除仇恨？	我去两分钟发一博机器人？
最让腐女YY的十大动漫作品……_(:3JZ)_by日本动漫腐地	都是练习脑力的好材料
外面真的是打雷吗？！	没听到啊，不过好像现在下起来了
我们不敢太在乎，是因为害怕别人压根儿不在乎。	太在乎，最后会发觉自己很可悲
